"case","n","min_ms","p50_ms","p90_ms","p99_ms","max_ms"
"0 docker CLI floor (docker version)","20","177.9","225.5","248.8","270.2","270.2"
"1 capsule own work (dry-run)","20","12","21.4","33.8","71.9","71.9"
"2 image pull (cold)","5","4272.9","5234","6449.5","6449.5","6449.5"
"3 image pull (already present)","20","2331.4","2593.3","3204.9","3643.2","3643.2"
"4 container create","20","219.7","373.1","905","2277.3","2277.3"
"5 start + command","20","446.7","840.4","1419.2","1608.8","1608.8"
"6 container remove","20","185.2","241.2","487.5","563.6","563.6"
"7 docker run --rm (all of 4-6 in one call)","20","501.5","713.7","1221.3","1437.9","1437.9"
