"case","n","min_ms","p50_ms","p90_ms","p99_ms","max_ms"
"capsule up (alpine:3.20) cold","5","5019","6158","6543.8","6543.8","6543.8"
"capsule up (alpine:3.20) warm","30","791.1","1010.2","1510.5","1794.8","1794.8"
"capsule up (golang:1.25-alpine) cold","5","12614.2","14120.8","15284","15284","15284"
"capsule up (golang:1.25-alpine) warm","30","719.7","967.7","1198.9","1452.7","1452.7"
