"case","n","min_ms","p50_ms","p90_ms","p99_ms","max_ms"
"no services","10","498.4","578.3","683.2","824.5","824.5"
"1 service, no ready check","10","1995.7","2435.1","2717.9","3170.6","3170.6"
"1 service, with ready check","10","2495.6","2695.6","2896.5","3011.6","3011.6"
"2 services, no ready check","10","2691.3","3694.7","4933.9","5033.3","5033.3"
